ID,Score
01000041,Toán:   8.60   Ngữ văn:   7.75   Vật lí:   6.00   Hóa học:   8.50   Sinh học:   8.75   KHTN: 7.75   Tiếng Anh:   9.40   
01000042,Toán:   7.60   Ngữ văn:   9.50   Lịch sử:   6.75   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.75   Tiếng Anh:   7.40   
01000043,Toán:   7.00   Ngữ văn:   8.00   Lịch sử:   7.25   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.92   Tiếng Anh:   7.60   
01000044,Toán:   7.60   Ngữ văn:   6.50   Vật lí:   7.25   Hóa học:   8.50   Sinh học:   5.50   KHTN: 7.08   Tiếng Anh:   6.20   
01000045,Toán:   3.80   Ngữ văn:   7.50   Lịch sử:   6.50   Địa lí:   5.50   GDCD:   8.25   KHXH: 6.75   Tiếng Anh:   4.20   
01000046,Toán:   7.80   Ngữ văn:   4.00   Vật lí:   6.75   Hóa học:   7.50   Sinh học:   6.50   KHTN: 6.92   Tiếng Anh:   9.40   
01000047,Toán:   8.60   Ngữ văn:   7.00   Vật lí:   7.75   Hóa học:   5.50   Sinh học:   4.00   KHTN: 5.75   Tiếng Anh:   8.60   
01000048,Toán:   5.40   Ngữ văn:   8.00   Lịch sử:   4.00   Địa lí:   5.25   GDCD:   7.00   KHXH: 5.42   Tiếng Anh:   7.40   
01000049,Toán:   7.80   Ngữ văn:   8.75   Lịch sử:   7.25   Địa lí:   5.50   GDCD:   9.00   KHXH: 7.25   Tiếng Anh:   8.00   
01000050,Toán:   8.60   Ngữ văn:   8.50   Lịch sử:   6.75   Địa lí:   5.75   GDCD:   8.25   KHXH: 6.92   Tiếng Anh:   8.20   
01000051,Toán:   8.60   Ngữ văn:   8.75   Lịch sử:   7.25   Địa lí:   6.50   GDCD:   8.75   KHXH: 7.5   Tiếng Anh:   9.40   
01000052,Toán:   7.40   Ngữ văn:   9.00   Lịch sử:   6.75   Địa lí:   6.75   GDCD:   9.00   KHXH: 7.5   Tiếng Anh:   8.20   
01000053,Toán:   8.20   Ngữ văn:   8.50   Lịch sử:   4.50   Địa lí:   6.50   GDCD:   9.75   KHXH: 6.92   Tiếng Anh:   8.80   
01000054,Ngữ văn:   6.25   Lịch sử:   5.75   Địa lí:   6.25   
01000055,Toán:   7.00   Ngữ văn:   8.25   Lịch sử:   8.00   Địa lí:   7.50   GDCD:   9.75   KHXH: 8.42   Tiếng Anh:   7.00   
01000056,Toán:   6.00   Ngữ văn:   8.00   Lịch sử:   6.75   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.75   Tiếng Anh:   7.40   
01000057,Toán:   7.60   Ngữ văn:   9.25   Lịch sử:   6.25   Địa lí:   6.00   GDCD:   9.25   KHXH: 7.17   Tiếng Anh:   9.00   
01000058,Toán:   7.80   Ngữ văn:   5.50   Vật lí:   6.75   Hóa học:   8.00   Sinh học:   4.75   KHTN: 6.5   Tiếng Anh:   7.40   
01000059,Toán:   8.20   Ngữ văn:   8.00   Vật lí:   6.75   Hóa học:   5.50   Sinh học:   8.25   KHTN: 6.83   Tiếng Anh:   8.80   
01000060,Toán:   6.00   Ngữ văn:   7.50   Lịch sử:   5.50   Địa lí:   5.50   GDCD:   6.50   KHXH: 5.83   Tiếng Anh:   8.00   
01000061,Ngữ văn:   6.75   Lịch sử:   7.75   Địa lí:   7.25   
01000062,Toán:   6.40   Ngữ văn:   4.00   Tiếng Anh:   5.40   
01000063,Toán:   7.40   Ngữ văn:   7.75   Vật lí:   6.25   Hóa học:   5.00   Sinh học:   4.75   KHTN: 5.33   Tiếng Anh:   9.00   
01000064,Toán:   7.80   Ngữ văn:   7.75   Lịch sử:   7.00   Địa lí:   5.00   GDCD:   7.75   KHXH: 6.58   Tiếng Anh:   9.20   
01000065,Toán:   8.20   Ngữ văn:   6.50   Vật lí:   7.00   Hóa học:   1.75   Sinh học:   3.50   KHTN: 4.08   Tiếng Anh:   8.80   
